,field_office,Applications Received2,Approved3,Denied4,Pending5,quarter,state,code,year,fy
45,San Jose,"4,175","3,578",273,"6,249","FY 2015, 4th Q, July 1-Sept. 30, 2015",California,SNJ,2015.0,FY 2015
47,Santa Ana,"4,215","6,338",670,"7,662","FY 2015, 4th Q, July 1-Sept. 30, 2015",California,SAA,2015.0,FY 2015
51,Denver,"2,395","2,385",596,"4,487","FY 2015, 4th Q, July 1-Sept. 30, 2015",Colorado,DEN,2015.0,FY 2015
55,Hartford,"2,455","3,265",250,"3,988","FY 2015, 4th Q, July 1-Sept. 30, 2015",Connecticut,HAR,2015.0,FY 2015
59,Dover AFB, -   , -   , -   , -   ,"FY 2015, 4th Q, July 1-Sept. 30, 2015",Delaware,DVD,2015.0,FY 2015
63,Washington,"4,921","5,413",375,"8,731","FY 2015, 4th Q, July 1-Sept. 30, 2015",District of Columbia,WAS,2015.0,FY 2015
67,Hialeah,"3,862","4,077",372,"5,342","FY 2015, 4th Q, July 1-Sept. 30, 2015",Florida,HIA,2015.0,FY 2015
69,Jacksonville,"1,314","1,324",159,"2,341","FY 2015, 4th Q, July 1-Sept. 30, 2015",Florida,JAC,2015.0,FY 2015
71,Kendall,"3,696","3,274",292,"4,940","FY 2015, 4th Q, July 1-Sept. 30, 2015",Florida,KND,2015.0,FY 2015
73,Miami,"3,650","3,472",433,"5,854","FY 2015, 4th Q, July 1-Sept. 30, 2015",Florida,MIA,2015.0,FY 2015
75,Oakland Park,"3,587","3,432",541,"5,481","FY 2015, 4th Q, July 1-Sept. 30, 2015",Florida,OKL,2015.0,FY 2015
77,Orlando,"2,857","3,714",392,"4,773","FY 2015, 4th Q, July 1-Sept. 30, 2015",Florida,ORL,2015.0,FY 2015
79,Tampa,"3,454","2,895",296,"5,624","FY 2015, 4th Q, July 1-Sept. 30, 2015",Florida,TAM,2015.0,FY 2015
81,West Palm Beach,"2,504","2,396",334,"3,744","FY 2015, 4th Q, July 1-Sept. 30, 2015",Florida,WPB,2015.0,FY 2015
85,Atlanta,"5,497","6,825",539,"9,719","FY 2015, 4th Q, July 1-Sept. 30, 2015",Georgia,ATL,2015.0,FY 2015
89,Honolulu,"1,072","1,121",92,"1,526","FY 2015, 4th Q, July 1-Sept. 30, 2015",Hawaii,HHW,2015.0,FY 2015
93,Boise,344,376,19,536,"FY 2015, 4th Q, July 1-Sept. 30, 2015",Idaho,BOI,2015.0,FY 2015
97,Chicago,"6,813","6,637",606,"13,446","FY 2015, 4th Q, July 1-Sept. 30, 2015",Illinois,CHI,2015.0,FY 2015
101,Indianapolis,"1,142","1,140",104,"1,891","FY 2015, 4th Q, July 1-Sept. 30, 2015",Indiana,INP,2015.0,FY 2015
105,Des Moines,794,273,56,"2,419","FY 2015, 4th Q, July 1-Sept. 30, 2015",Iowa,DSM,2015.0,FY 2015
109,Wichita,300,246,17,581,"FY 2015, 4th Q, July 1-Sept. 30, 2015",Kansas,WIC,2015.0,FY 2015
113,Louisville,944,826,85,"1,460","FY 2015, 4th Q, July 1-Sept. 30, 2015",Kentucky,LOU,2015.0,FY 2015
117,New Orleans,"1,012",839,92,"1,785","FY 2015, 4th Q, July 1-Sept. 30, 2015",Louisiana,NOL,2015.0,FY 2015
121,Portland,294,430, D ,393,"FY 2015, 4th Q, July 1-Sept. 30, 2015",Maine,POO,2015.0,FY 2015
125,Baltimore,"4,815","5,250",379,"10,947","FY 2015, 4th Q, July 1-Sept. 30, 2015",Maryland,BAL,2015.0,FY 2015
129,Boston,"4,492","4,767",453,"7,147","FY 2015, 4th Q, July 1-Sept. 30, 2015",Massachusetts,BOS,2015.0,FY 2015
131,Lawrence,"2,156","2,624",306,"3,096","FY 2015, 4th Q, July 1-Sept. 30, 2015",Massachusetts,LAW,2015.0,FY 2015
135,Detroit,"3,734","4,080",341,"6,361","FY 2015, 4th Q, July 1-Sept. 30, 2015",Michigan,DET,2015.0,FY 2015
139,St. Paul,"3,251","3,794",226,"7,205","FY 2015, 4th Q, July 1-Sept. 30, 2015",Minnesota,SPM,2015.0,FY 2015
143,Kansas City,"1,112","1,462",75,"1,639","FY 2015, 4th Q, July 1-Sept. 30, 2015",Missouri,KAN,2015.0,FY 2015
145,St. Louis,808,995,93,"1,735","FY 2015, 4th Q, July 1-Sept. 30, 2015",Missouri,STL,2015.0,FY 2015
149,Helena,92,70, D ,130,"FY 2015, 4th Q, July 1-Sept. 30, 2015",Montana,HEL,2015.0,FY 2015
153,Omaha,819,792,124,"1,112","FY 2015, 4th Q, July 1-Sept. 30, 2015",Nebraska,OMA,2015.0,FY 2015
157,Las Vegas,"2,047","1,379",211,"3,629","FY 2015, 4th Q, July 1-Sept. 30, 2015",Nevada,LVG,2015.0,FY 2015
159,Reno,325,282,44,456,"FY 2015, 4th Q, July 1-Sept. 30, 2015",Nevada,REN,2015.0,FY 2015
163,Manchester,438,461,21,614,"FY 2015, 4th Q, July 1-Sept. 30, 2015",New Hampshire,MAN,2015.0,FY 2015
167,Mount Laurel,"1,829","1,617",133,"2,805","FY 2015, 4th Q, July 1-Sept. 30, 2015",New Jersey,MTL,2015.0,FY 2015
169,Newark,"8,313","7,672",602,"14,252","FY 2015, 4th Q, July 1-Sept. 30, 2015",New Jersey,NEW,2015.0,FY 2015
173,Albuquerque,458,340,26,743,"FY 2015, 4th Q, July 1-Sept. 30, 2015",New Mexico,ABQ,2015.0,FY 2015
177,Albany,631,743,51,"1,025","FY 2015, 4th Q, July 1-Sept. 30, 2015",New York,ALB,2015.0,FY 2015
179,Buffalo,"1,331","1,182",227,"2,412","FY 2015, 4th Q, July 1-Sept. 30, 2015",New York,BUF,2015.0,FY 2015
181,Long Island,"5,233","5,076",376,"10,747","FY 2015, 4th Q, July 1-Sept. 30, 2015",New York,LNY,2015.0,FY 2015
183,New York,"13,425","13,507","2,381","27,322","FY 2015, 4th Q, July 1-Sept. 30, 2015",New York,NYC,2015.0,FY 2015
185,Queens,"4,956","5,901","1,231","10,218","FY 2015, 4th Q, July 1-Sept. 30, 2015",New York,QNS,2015.0,FY 2015
189,Charlotte,"1,704","1,442",123,"2,649","FY 2015, 4th Q, July 1-Sept. 30, 2015",North Carolina,CLT,2015.0,FY 2015
191,Raleigh,"1,490","1,580",82,"1,781","FY 2015, 4th Q, July 1-Sept. 30, 2015",North Carolina,RAL,2015.0,FY 2015
195,Cincinnati,656,565,25,"1,028","FY 2015, 4th Q, July 1-Sept. 30, 2015",Ohio,CIN,2015.0,FY 2015
197,Cleveland,"1,045","1,079",96,"1,517","FY 2015, 4th Q, July 1-Sept. 30, 2015",Ohio,CLE,2015.0,FY 2015
199,Columbus,"1,129",991,79,"1,682","FY 2015, 4th Q, July 1-Sept. 30, 2015",Ohio,CLM,2015.0,FY 2015
203,Oklahoma City,894,"1,274",113,"1,905","FY 2015, 4th Q, July 1-Sept. 30, 2015",Oklahoma,OKC,2015.0,FY 2015
207,Portland,"1,777","1,920",128,"4,355","FY 2015, 4th Q, July 1-Sept. 30, 2015",Oregon,POO,2015.0,FY 2015
211,Philadelphia,"4,470","3,775",326,"7,798","FY 2015, 4th Q, July 1-Sept. 30, 2015",Pennsylvania,PHI,2015.0,FY 2015
213,Pittsburgh,682,806,17,"1,620","FY 2015, 4th Q, July 1-Sept. 30, 2015",Pennsylvania,PIT,2015.0,FY 2015
217,Providence,699,871,102,"1,091","FY 2015, 4th Q, July 1-Sept. 30, 2015",Rhode Island,PRO,2015.0,FY 2015
221,Charleston,921,797,72,"1,637","FY 2015, 4th Q, July 1-Sept. 30, 2015",South Carolina,CHS,2015.0,FY 2015
225,Memphis,"1,802","2,311",166,"3,307","FY 2015, 4th Q, July 1-Sept. 30, 2015",Tennessee,MEM,2015.0,FY 2015
229,Dallas,"6,033","8,279",982,"10,847","FY 2015, 4th Q, July 1-Sept. 30, 2015",Texas,DAL,2015.0,FY 2015
231,El Paso,"1,165","1,343",65,"2,303","FY 2015, 4th Q, July 1-Sept. 30, 2015",Texas,ELP,2015.0,FY 2015
233,Harlingen,812,893,113,"1,522","FY 2015, 4th Q, July 1-Sept. 30, 2015",Texas,HLG,2015.0,FY 2015
235,Houston,"6,641","8,125","1,118","14,003","FY 2015, 4th Q, July 1-Sept. 30, 2015",Texas,HOU,2015.0,FY 2015
237,San Antonio,"2,797","3,038",166,"4,874","FY 2015, 4th Q, July 1-Sept. 30, 2015",Texas,SNA,2015.0,FY 2015
241,Salt Lake City,"1,139","1,074",87,"1,433","FY 2015, 4th Q, July 1-Sept. 30, 2015",Utah,SLC,2015.0,FY 2015
245,St. Albans,167,201, D ,271,"FY 2015, 4th Q, July 1-Sept. 30, 2015",Vermont,STA,2015.0,FY 2015
249,Norfolk,"1,206","1,135",110,"2,463","FY 2015, 4th Q, July 1-Sept. 30, 2015",Virginia,NOR,2015.0,FY 2015
253,Seattle,"3,746","3,774",382,"10,644","FY 2015, 4th Q, July 1-Sept. 30, 2015",Washington,SEA,2015.0,FY 2015
255,Spokane,221,243,11,349,"FY 2015, 4th Q, July 1-Sept. 30, 2015",Washington,SPO,2015.0,FY 2015
257,Yakima,418,575,34,510,"FY 2015, 4th Q, July 1-Sept. 30, 2015",Washington,YAK,2015.0,FY 2015
261,Milwaukee,954,894,84,"1,573","FY 2015, 4th Q, July 1-Sept. 30, 2015",Wisconsin,MIL,2015.0,FY 2015
269,Hagatna,220,217,15,367,"FY 2015, 4th Q, July 1-Sept. 30, 2015",Guam,AGA,2015.0,FY 2015
273,Charlotte Amalie,90,109,15,155,"FY 2015, 4th Q, July 1-Sept. 30, 2015",U.S. Virgin Islands,CHA,2015.0,FY 2015
275,Christiansted,63,44, D ,192,"FY 2015, 4th Q, July 1-Sept. 30, 2015",U.S. Virgin Islands,CHR,2015.0,FY 2015
279,San Juan,813,750,120,"1,244","FY 2015, 4th Q, July 1-Sept. 30, 2015",Puerto Rico,SAJ,2015.0,FY 2015
11,Anchorage,306,202,44,603,"FY 2016, 1st Q, Oct. 1-Dec.31, 2015",Alaska,ANC,2015.0,FY 2016
15,Phoenix,"2,529","2,003",317,"5,336","FY 2016, 1st Q, Oct. 1-Dec.31, 2015",Arizona,PHO,2015.0,FY 2016
17,Tucson,553,472,87,943,"FY 2016, 1st Q, Oct. 1-Dec.31, 2015",Arizona,TUC,2015.0,FY 2016
21,Fort Smith,280,252,14,602,"FY 2016, 1st Q, Oct. 1-Dec.31, 2015",Arkansas,FSA,2015.0,FY 2016
25,Chula Vista,"1,787","1,599",209,"3,591","FY 2016, 1st Q, Oct. 1-Dec.31, 2015",California,CVC,2015.0,FY 2016
27,Fresno,"1,934","1,712",349,"3,634","FY 2016, 1st Q, Oct. 1-Dec.31, 2015",California,FRE,2015.0,FY 2016
29,Imperial,363,264,37,557,"FY 2016, 1st Q, Oct. 1-Dec.31, 2015",California,IMP,2015.0,FY 2016
31,Los Angeles,"4,166","3,800",310,"7,663","FY 2016, 1st Q, Oct. 1-Dec.31, 2015",California,LOS,2015.0,FY 2016
33,Los Angeles County,"4,341","3,933",518,"8,705","FY 2016, 1st Q, Oct. 1-Dec.31, 2015",California,LAC,2015.0,FY 2016
35,Sacramento,"2,827","3,216",227,"5,298","FY 2016, 1st Q, Oct. 1-Dec.31, 2015",California,SAC,2015.0,FY 2016
37,San Bernardino,"3,215","3,049",397,"6,133","FY 2016, 1st Q, Oct. 1-Dec.31, 2015",California,SBD,2015.0,FY 2016
39,San Diego,"1,506","1,736",194,"3,928","FY 2016, 1st Q, Oct. 1-Dec.31, 2015",California,SND,2015.0,FY 2016
41,San Fernando Valley,"3,412","2,492",221,"6,992","FY 2016, 1st Q, Oct. 1-Dec.31, 2015",California,SFV,2015.0,FY 2016
43,San Francisco,"5,752","4,102",310,"12,673","FY 2016, 1st Q, Oct. 1-Dec.31, 2015",California,SFR,2015.0,FY 2016
45,San Jose,"3,338","2,557",258,"6,688","FY 2016, 1st Q, Oct. 1-Dec.31, 2015",California,SNJ,2015.0,FY 2016
47,Santa Ana,"3,641","3,208",351,"7,584","FY 2016, 1st Q, Oct. 1-Dec.31, 2015",California,SAA,2015.0,FY 2016
51,Denver,"2,233","1,760",366,"4,686","FY 2016, 1st Q, Oct. 1-Dec.31, 2015",Colorado,DEN,2015.0,FY 2016
55,Hartford,"2,325","2,292",233,"4,189","FY 2016, 1st Q, Oct. 1-Dec.31, 2015",Connecticut,HAR,2015.0,FY 2016
59,Dover AFB, -   , -   , -   , -   ,"FY 2016, 1st Q, Oct. 1-Dec.31, 2015",Delaware,DVD,2015.0,FY 2016
63,Washington,"4,421","2,791",371,"10,737","FY 2016, 1st Q, Oct. 1-Dec.31, 2015",District of Columbia,WAS,2015.0,FY 2016
67,Hialeah,"3,538","2,771",298,"6,079","FY 2016, 1st Q, Oct. 1-Dec.31, 2015",Florida,HIA,2015.0,FY 2016
69,Jacksonville,"1,082",537,92,"2,805","FY 2016, 1st Q, Oct. 1-Dec.31, 2015",Florida,JAC,2015.0,FY 2016
71,Kendall,"3,415","2,867",325,"5,389","FY 2016, 1st Q, Oct. 1-Dec.31, 2015",Florida,KND,2015.0,FY 2016
73,Miami,"3,453","1,904",482,"7,136","FY 2016, 1st Q, Oct. 1-Dec.31, 2015",Florida,MIA,2015.0,FY 2016
75,Oakland Park,"3,164","2,932",390,"5,467","FY 2016, 1st Q, Oct. 1-Dec.31, 2015",Florida,OKL,2015.0,FY 2016
77,Orlando,"2,652","1,864",621,"5,160","FY 2016, 1st Q, Oct. 1-Dec.31, 2015",Florida,ORL,2015.0,FY 2016
79,Tampa,"3,101","2,341",396,"5,342","FY 2016, 1st Q, Oct. 1-Dec.31, 2015",Florida,TAM,2015.0,FY 2016
81,West Palm Beach,"2,255","1,660",219,"4,152","FY 2016, 1st Q, Oct. 1-Dec.31, 2015",Florida,WPB,2015.0,FY 2016
85,Atlanta,"4,971","4,236",469,"9,977","FY 2016, 1st Q, Oct. 1-Dec.31, 2015",Georgia,ATL,2015.0,FY 2016
89,Honolulu,906,817,71,"1,600","FY 2016, 1st Q, Oct. 1-Dec.31, 2015",Hawaii,HHW,2015.0,FY 2016
93,Boise,354,336,18,537,"FY 2016, 1st Q, Oct. 1-Dec.31, 2015",Idaho,BOI,2015.0,FY 2016
97,Chicago,"6,395","5,457",610,"13,905","FY 2016, 1st Q, Oct. 1-Dec.31, 2015",Illinois,CHI,2015.0,FY 2016
101,Indianapolis,"1,074",914,104,"1,930","FY 2016, 1st Q, Oct. 1-Dec.31, 2015",Indiana,INP,2015.0,FY 2016
105,Des Moines,737,611,93,"2,188","FY 2016, 1st Q, Oct. 1-Dec.31, 2015",Iowa,DSM,2015.0,FY 2016
109,Wichita,301,314,25,527,"FY 2016, 1st Q, Oct. 1-Dec.31, 2015",Kansas,WIC,2015.0,FY 2016
113,Louisville,754,669,125,"1,408","FY 2016, 1st Q, Oct. 1-Dec.31, 2015",Kentucky,LOU,2015.0,FY 2016
117,New Orleans,858,892,65,"1,617","FY 2016, 1st Q, Oct. 1-Dec.31, 2015",Louisiana,NOL,2015.0,FY 2016
121,Portland,257,224, D ,433,"FY 2016, 1st Q, Oct. 1-Dec.31, 2015",Maine,POO,2015.0,FY 2016
125,Baltimore,"4,516","4,643",474,"11,077","FY 2016, 1st Q, Oct. 1-Dec.31, 2015",Maryland,BAL,2015.0,FY 2016
129,Boston,"4,264","3,450",390,"8,141","FY 2016, 1st Q, Oct. 1-Dec.31, 2015",Massachusetts,BOS,2015.0,FY 2016
131,Lawrence,"1,864",983,212,"3,879","FY 2016, 1st Q, Oct. 1-Dec.31, 2015",Massachusetts,LAW,2015.0,FY 2016
135,Detroit,"3,431","2,965",404,"6,683","FY 2016, 1st Q, Oct. 1-Dec.31, 2015",Michigan,DET,2015.0,FY 2016
139,St. Paul,"2,992","2,242",260,"7,913","FY 2016, 1st Q, Oct. 1-Dec.31, 2015",Minnesota,SPM,2015.0,FY 2016
143,Kansas City,946,"1,072",39,"1,497","FY 2016, 1st Q, Oct. 1-Dec.31, 2015",Missouri,KAN,2015.0,FY 2016
145,St. Louis,704,365,44,"2,020","FY 2016, 1st Q, Oct. 1-Dec.31, 2015",Missouri,STL,2015.0,FY 2016
149,Helena,72,74, D ,115,"FY 2016, 1st Q, Oct. 1-Dec.31, 2015",Montana,HEL,2015.0,FY 2016
153,Omaha,768,651,89,"1,368","FY 2016, 1st Q, Oct. 1-Dec.31, 2015",Nebraska,OMA,2015.0,FY 2016
157,Las Vegas,"1,801","1,379",187,"3,797","FY 2016, 1st Q, Oct. 1-Dec.31, 2015",Nevada,LVG,2015.0,FY 2016
159,Reno,291,238,29,524,"FY 2016, 1st Q, Oct. 1-Dec.31, 2015",Nevada,REN,2015.0,FY 2016
163,Manchester,327,360,19,535,"FY 2016, 1st Q, Oct. 1-Dec.31, 2015",New Hampshire,MAN,2015.0,FY 2016
167,Mount Laurel,"1,657","1,348",151,"3,107","FY 2016, 1st Q, Oct. 1-Dec.31, 2015",New Jersey,MTL,2015.0,FY 2016
169,Newark,"8,002","7,177",673,"15,251","FY 2016, 1st Q, Oct. 1-Dec.31, 2015",New Jersey,NEW,2015.0,FY 2016
173,Albuquerque,441,323, -   ,914,"FY 2016, 1st Q, Oct. 1-Dec.31, 2015",New Mexico,ABQ,2015.0,FY 2016
177,Albany,562,390,39,"1,185","FY 2016, 1st Q, Oct. 1-Dec.31, 2015",New York,ALB,2015.0,FY 2016
179,Buffalo,"1,131","1,125",163,"2,316","FY 2016, 1st Q, Oct. 1-Dec.31, 2015",New York,BUF,2015.0,FY 2016
181,Long Island,"4,984","4,015",556,"11,309","FY 2016, 1st Q, Oct. 1-Dec.31, 2015",New York,LNY,2015.0,FY 2016
183,New York,"13,049","11,524","1,711","29,134","FY 2016, 1st Q, Oct. 1-Dec.31, 2015",New York,NYC,2015.0,FY 2016
185,Queens,"4,892","3,769",543,"11,268","FY 2016, 1st Q, Oct. 1-Dec.31, 2015",New York,QNS,2015.0,FY 2016
189,Charlotte,"1,553","1,418",99,"2,844","FY 2016, 1st Q, Oct. 1-Dec.31, 2015",North Carolina,CLT,2015.0,FY 2016
191,Raleigh,"1,403","1,259",69,"2,045","FY 2016, 1st Q, Oct. 1-Dec.31, 2015",North Carolina,RAL,2015.0,FY 2016
195,Cincinnati,559,576,60,933,"FY 2016, 1st Q, Oct. 1-Dec.31, 2015",Ohio,CIN,2015.0,FY 2016
197,Cleveland,916,913,87,"1,428","FY 2016, 1st Q, Oct. 1-Dec.31, 2015",Ohio,CLE,2015.0,FY 2016
199,Columbus,"1,083",990,96,"1,664","FY 2016, 1st Q, Oct. 1-Dec.31, 2015",Ohio,CLM,2015.0,FY 2016
203,Oklahoma City,750,712,59,"1,840","FY 2016, 1st Q, Oct. 1-Dec.31, 2015",Oklahoma,OKC,2015.0,FY 2016
207,Portland,"1,758","1,477",112,"4,475","FY 2016, 1st Q, Oct. 1-Dec.31, 2015",Oregon,POO,2015.0,FY 2016
211,Philadelphia,"4,137","3,835",325,"8,117","FY 2016, 1st Q, Oct. 1-Dec.31, 2015",Pennsylvania,PHI,2015.0,FY 2016
213,Pittsburgh,685,772,30,"1,524","FY 2016, 1st Q, Oct. 1-Dec.31, 2015",Pennsylvania,PIT,2015.0,FY 2016
217,Providence,701,666,96,"1,033","FY 2016, 1st Q, Oct. 1-Dec.31, 2015",Rhode Island,PRO,2015.0,FY 2016
221,Charleston,891,625,55,"1,914","FY 2016, 1st Q, Oct. 1-Dec.31, 2015",South Carolina,CHS,2015.0,FY 2016
225,Memphis,"1,548","1,045",100,"3,617","FY 2016, 1st Q, Oct. 1-Dec.31, 2015",Tennessee,MEM,2015.0,FY 2016
229,Dallas,"5,285","3,481",625,"11,723","FY 2016, 1st Q, Oct. 1-Dec.31, 2015",Texas,DAL,2015.0,FY 2016
231,El Paso,"1,147",769,108,"2,631","FY 2016, 1st Q, Oct. 1-Dec.31, 2015",Texas,ELP,2015.0,FY 2016
233,Harlingen,805,379,113,"1,934","FY 2016, 1st Q, Oct. 1-Dec.31, 2015",Texas,HLG,2015.0,FY 2016
235,Houston,"6,176","5,202",723,"14,096","FY 2016, 1st Q, Oct. 1-Dec.31, 2015",Texas,HOU,2015.0,FY 2016
237,San Antonio,"2,651","1,842",162,"5,656","FY 2016, 1st Q, Oct. 1-Dec.31, 2015",Texas,SNA,2015.0,FY 2016
241,Salt Lake City,"1,010",854,84,"1,738","FY 2016, 1st Q, Oct. 1-Dec.31, 2015",Utah,SLC,2015.0,FY 2016
245,St. Albans,155,125, D ,292,"FY 2016, 1st Q, Oct. 1-Dec.31, 2015",Vermont,STA,2015.0,FY 2016
249,Norfolk,"1,121",949,116,"2,619","FY 2016, 1st Q, Oct. 1-Dec.31, 2015",Virginia,NOR,2015.0,FY 2016
253,Seattle,"3,562","3,951",425,"9,989","FY 2016, 1st Q, Oct. 1-Dec.31, 2015",Washington,SEA,2015.0,FY 2016
255,Spokane,241,235,16,361,"FY 2016, 1st Q, Oct. 1-Dec.31, 2015",Washington,SPO,2015.0,FY 2016
257,Yakima,400,325,19,585,"FY 2016, 1st Q, Oct. 1-Dec.31, 2015",Washington,YAK,2015.0,FY 2016
261,Milwaukee,910,843,170,"1,496","FY 2016, 1st Q, Oct. 1-Dec.31, 2015",Wisconsin,MIL,2015.0,FY 2016
269,Hagatna,188,255,15,320,"FY 2016, 1st Q, Oct. 1-Dec.31, 2015",Guam,AGA,2015.0,FY 2016
273,Charlotte Amalie,110,105, D ,160,"FY 2016, 1st Q, Oct. 1-Dec.31, 2015",U.S. Virgin Islands,CHA,2015.0,FY 2016
275,Christiansted,51,85, D ,151,"FY 2016, 1st Q, Oct. 1-Dec.31, 2015",U.S. Virgin Islands,CHR,2015.0,FY 2016
279,San Juan,780,562,61,"1,438","FY 2016, 1st Q, Oct. 1-Dec.31, 2015",Puerto Rico,SAJ,2015.0,FY 2016
11,Anchorage,392,183,20,723,"FY 2016, 2nd Q, Jan. 1-March 31, 2016",Alaska,ANC,2016.0,FY 2016
15,Phoenix,"3,366","2,436",286,"6,038","FY 2016, 2nd Q, Jan. 1-March 31, 2016",Arizona,PHO,2016.0,FY 2016
17,Tucson,709,551,81,"1,038","FY 2016, 2nd Q, Jan. 1-March 31, 2016",Arizona,TUC,2016.0,FY 2016
21,Fort Smith,393,317,23,653,"FY 2016, 2nd Q, Jan. 1-March 31, 2016",Arkansas,FSA,2016.0,FY 2016
25,Chula Vista,710,"1,008",113,563,"FY 2016, 2nd Q, Jan. 1-March 31, 2016",California,CVC,2016.0,FY 2016
27,Fresno,"2,876","1,840",363,"4,330","FY 2016, 2nd Q, Jan. 1-March 31, 2016",California,FRE,2016.0,FY 2016
29,Imperial,387,258,61,626,"FY 2016, 2nd Q, Jan. 1-March 31, 2016",California,IMP,2016.0,FY 2016
31,Los Angeles,"5,088","4,579",494,"7,875","FY 2016, 2nd Q, Jan. 1-March 31, 2016",California,LOS,2016.0,FY 2016
33,Los Angeles County,"5,786","4,283",632,"9,766","FY 2016, 2nd Q, Jan. 1-March 31, 2016",California,LAC,2016.0,FY 2016
35,Sacramento,"3,952","2,977",268,"6,061","FY 2016, 2nd Q, Jan. 1-March 31, 2016",California,SAC,2016.0,FY 2016
37,San Bernardino,"4,569","3,681",417,"6,660","FY 2016, 2nd Q, Jan. 1-March 31, 2016",California,SBD,2016.0,FY 2016
39,San Diego,"3,836","1,930",136,"8,345","FY 2016, 2nd Q, Jan. 1-March 31, 2016",California,SND,2016.0,FY 2016
41,San Fernando Valley,"4,309","3,229",245,"7,828","FY 2016, 2nd Q, Jan. 1-March 31, 2016",California,SFV,2016.0,FY 2016
43,San Francisco,"7,737","6,326",558,"13,641","FY 2016, 2nd Q, Jan. 1-March 31, 2016",California,SFR,2016.0,FY 2016
45,San Jose,"4,318","2,964",403,"7,418","FY 2016, 2nd Q, Jan. 1-March 31, 2016",California,SNJ,2016.0,FY 2016
47,Santa Ana,"4,572","3,364",585,"8,273","FY 2016, 2nd Q, Jan. 1-March 31, 2016",California,SAA,2016.0,FY 2016
51,Denver,"3,042","2,336",434,"5,037","FY 2016, 2nd Q, Jan. 1-March 31, 2016",Colorado,DEN,2016.0,FY 2016
55,Hartford,"3,207","2,036",326,"4,180","FY 2016, 2nd Q, Jan. 1-March 31, 2016",Connecticut,HAR,2016.0,FY 2016
59,Dover AFB, -   , -   , -   , -   ,"FY 2016, 2nd Q, Jan. 1-March 31, 2016",Delaware,DVD,2016.0,FY 2016
63,Washington,"5,960","2,780",427,"13,501","FY 2016, 2nd Q, Jan. 1-March 31, 2016",District of Columbia,WAS,2016.0,FY 2016
67,Hialeah,"5,521","3,106",325,"8,170","FY 2016, 2nd Q, Jan. 1-March 31, 2016",Florida,HIA,2016.0,FY 2016
69,Jacksonville,"1,520",720,116,"3,426","FY 2016, 2nd Q, Jan. 1-March 31, 2016",Florida,JAC,2016.0,FY 2016
71,Kendall,"5,316","2,991",343,"7,763","FY 2016, 2nd Q, Jan. 1-March 31, 2016",Florida,KND,2016.0,FY 2016
73,Miami,"4,811","2,959",398,"8,211","FY 2016, 2nd Q, Jan. 1-March 31, 2016",Florida,MIA,2016.0,FY 2016
75,Oakland Park,"5,029","2,838",462,"7,226","FY 2016, 2nd Q, Jan. 1-March 31, 2016",Florida,OKL,2016.0,FY 2016
77,Orlando,"3,651","2,192",390,"6,257","FY 2016, 2nd Q, Jan. 1-March 31, 2016",Florida,ORL,2016.0,FY 2016
79,Tampa,"4,465","2,491",300,"6,973","FY 2016, 2nd Q, Jan. 1-March 31, 2016",Florida,TAM,2016.0,FY 2016
81,West Palm Beach,"3,022","2,057",365,"4,729","FY 2016, 2nd Q, Jan. 1-March 31, 2016",Florida,WPB,2016.0,FY 2016
85,Atlanta,"6,855","4,903",334,"11,626","FY 2016, 2nd Q, Jan. 1-March 31, 2016",Georgia,ATL,2016.0,FY 2016
89,Honolulu,"1,148",993,75,"1,655","FY 2016, 2nd Q, Jan. 1-March 31, 2016",Hawaii,HHW,2016.0,FY 2016
93,Boise,497,232,17,782,"FY 2016, 2nd Q, Jan. 1-March 31, 2016",Idaho,BOI,2016.0,FY 2016
97,Chicago,"8,186","5,935",431,"15,772","FY 2016, 2nd Q, Jan. 1-March 31, 2016",Illinois,CHI,2016.0,FY 2016
101,Indianapolis,"1,546","1,103",89,"2,303","FY 2016, 2nd Q, Jan. 1-March 31, 2016",Indiana,INP,2016.0,FY 2016
105,Des Moines,"1,021",919,99,"2,216","FY 2016, 2nd Q, Jan. 1-March 31, 2016",Iowa,DSM,2016.0,FY 2016
109,Wichita,377,263,27,616,"FY 2016, 2nd Q, Jan. 1-March 31, 2016",Kansas,WIC,2016.0,FY 2016
113,Louisville,"1,045",775,84,"1,623","FY 2016, 2nd Q, Jan. 1-March 31, 2016",Kentucky,LOU,2016.0,FY 2016
117,New Orleans,"1,153",775,97,"1,895","FY 2016, 2nd Q, Jan. 1-March 31, 2016",Louisiana,NOL,2016.0,FY 2016
121,Portland,259,218,10,466,"FY 2016, 2nd Q, Jan. 1-March 31, 2016",Maine,POO,2016.0,FY 2016
125,Baltimore,"6,036","4,875",412,"11,880","FY 2016, 2nd Q, Jan. 1-March 31, 2016",Maryland,BAL,2016.0,FY 2016
129,Boston,"5,401","3,417",271,"9,903","FY 2016, 2nd Q, Jan. 1-March 31, 2016",Massachusetts,BOS,2016.0,FY 2016
131,Lawrence,"2,583","1,870",219,"4,386","FY 2016, 2nd Q, Jan. 1-March 31, 2016",Massachusetts,LAW,2016.0,FY 2016
135,Detroit,"4,529","3,542",317,"7,364","FY 2016, 2nd Q, Jan. 1-March 31, 2016",Michigan,DET,2016.0,FY 2016
139,St. Paul,"3,874","3,324",214,"8,232","FY 2016, 2nd Q, Jan. 1-March 31, 2016",Minnesota,SPM,2016.0,FY 2016
